"","date","hits","keyword","geo","time","gprop","category"
"145",2020-12-27,61,"/m/01kcnl","AR","today+5-y","web",0
"146",2021-01-03,73,"/m/01kcnl","AR","today+5-y","web",0
"147",2021-01-10,73,"/m/01kcnl","AR","today+5-y","web",0
"148",2021-01-17,72,"/m/01kcnl","AR","today+5-y","web",0
"149",2021-01-24,80,"/m/01kcnl","AR","today+5-y","web",0
"150",2021-01-31,83,"/m/01kcnl","AR","today+5-y","web",0
"151",2021-02-07,74,"/m/01kcnl","AR","today+5-y","web",0
"152",2021-02-14,77,"/m/01kcnl","AR","today+5-y","web",0
"153",2021-02-21,68,"/m/01kcnl","AR","today+5-y","web",0
"154",2021-02-28,75,"/m/01kcnl","AR","today+5-y","web",0
"155",2021-03-07,68,"/m/01kcnl","AR","today+5-y","web",0
"156",2021-03-14,68,"/m/01kcnl","AR","today+5-y","web",0
"157",2021-03-21,83,"/m/01kcnl","AR","today+5-y","web",0
"158",2021-03-28,72,"/m/01kcnl","AR","today+5-y","web",0
"159",2021-04-04,67,"/m/01kcnl","AR","today+5-y","web",0
"160",2021-04-11,70,"/m/01kcnl","AR","today+5-y","web",0
"161",2021-04-18,67,"/m/01kcnl","AR","today+5-y","web",0
"162",2021-04-25,67,"/m/01kcnl","AR","today+5-y","web",0
"163",2021-05-02,69,"/m/01kcnl","AR","today+5-y","web",0
"164",2021-05-09,61,"/m/01kcnl","AR","today+5-y","web",0
"165",2021-05-16,60,"/m/01kcnl","AR","today+5-y","web",0
"166",2021-05-23,75,"/m/01kcnl","AR","today+5-y","web",0
"167",2021-05-30,68,"/m/01kcnl","AR","today+5-y","web",0
"168",2021-06-06,65,"/m/01kcnl","AR","today+5-y","web",0
"169",2021-06-13,66,"/m/01kcnl","AR","today+5-y","web",0
"170",2021-06-20,71,"/m/01kcnl","AR","today+5-y","web",0
"171",2021-06-27,67,"/m/01kcnl","AR","today+5-y","web",0
"172",2021-07-04,65,"/m/01kcnl","AR","today+5-y","web",0
"173",2021-07-11,76,"/m/01kcnl","AR","today+5-y","web",0
"174",2021-07-18,72,"/m/01kcnl","AR","today+5-y","web",0
"175",2021-07-25,75,"/m/01kcnl","AR","today+5-y","web",0
"176",2021-08-01,73,"/m/01kcnl","AR","today+5-y","web",0
"177",2021-08-08,78,"/m/01kcnl","AR","today+5-y","web",0
"178",2021-08-15,80,"/m/01kcnl","AR","today+5-y","web",0
"179",2021-08-22,78,"/m/01kcnl","AR","today+5-y","web",0
"180",2021-08-29,71,"/m/01kcnl","AR","today+5-y","web",0
"181",2021-09-05,76,"/m/01kcnl","AR","today+5-y","web",0
